sample,outcome,AC009242.1,AC004637.1,AC246817.1,AL139241.1,PRDM16-DT,LINC01028,LINC00639,AL135841.1,HYMAI,KCNIP2-AS1,LINC00922,LINC01614,LINC01644,AC104237.3,AC016735.1,AC090125.1,AC008459.1,LINC00958,AC112721.2,LINC00924
TCGA-XX-A89A-01A-11R-A36F-07,1,0.6061,0.1609,0.2804,0.1991,0.4707,0.6666,1.0335,0,0.0927,0.5026,10.2375,59.4645,6.3305,0.3631,0.9814,0.3145,0.0561,0.2956,0.5732,0.4524
TCGA-GM-A2DK-01A-21R-A180-07,1,0.0189,0,0.0438,0,0.3142,0,0.4626,0.2012,0.0159,0.1296,0.6422,16.7053,7.3873,0.8742,0.9,0.5408,0.0129,0.1386,1.4785,0.5186
TCGA-EW-A6S9-01A-22R-A33J-07,1,0.0734,0,0.1584,0,0.1721,0,0.102,0,0.0411,0.1674,1.9547,59.1875,0,0.4838,0.5811,0.6984,0,0.1909,4.7093,0.0502
TCGA-E9-A1NC-01A-21R-A26B-07,1,0.0187,25.2696,0.0433,0.5417,0.2166,0,0.0614,1.5918,0.0945,0.1282,0.567,36.616,0,0.247,14.2385,8.877,0,0.1462,1.8518,0.2051
TCGA-E9-A1N6-01A-11R-A144-07,1,0,0.1849,0.2051,0,0.1432,0,0.0566,0,0.0266,0.1444,4.1014,167.512,8.0126,0.2087,0,4.8808,0,0,8.566,0.1083
TCGA-BH-A18G-01A-11R-A12D-07,1,0,0,0.024,0,0.0521,0,0.1004,0.4132,0.0218,0,2.2606,44.7228,0,0,6.4682,5.1824,0,0,1.6192,0.1775
TCGA-A8-A07R-01A-21R-A034-07,1,0.1952,0.3108,0,0.0855,0.0267,0,0.0528,4.4275,0.0298,0.2832,0.1503,6.5491,0.6413,0.1169,6.1092,0.5064,0,0.0519,1.1074,0.1214
TCGA-E9-A1R5-01A-11R-A14M-07,1,0.0402,0,0.1301,0,0.0807,0.0972,0.0777,0.2133,0.0338,0.458,6.6854,91.9355,7.4671,0,0.477,0.5732,0.0136,0.1176,1.6716,0.1099
TCGA-AO-A12C-01A-11R-A10J-07,1,0.0992,0,0.2524,0,0.1745,0,0.1624,0,0.0209,0.2828,7.4741,60.3113,0,0.8172,1.1779,0,0,0.1693,6.837,0.3394
TCGA-OL-A97C-01A-32R-A41B-07,1,0.7297,0,0.6961,0.1099,0.0917,0,0.258,0.2421,0.1534,0.832,0.1104,4.5551,0.7064,0,1.6245,0.2603,0.031,0.4448,242.439,2.621
TCGA-A8-A07J-01A-11R-A00Z-07,1,0.063,0,0.102,0,0.0791,0.6097,0.9846,0.1672,0.053,0.3591,8.92,55.1191,0,0,0,0,0,0.1382,0.3276,0.3879
TCGA-A8-A08G-01A-11R-A00Z-07,1,0.2108,0.2237,0.1595,0.0923,0.0578,0.0927,0.1255,0.1017,0.0322,0.3932,1.6233,43.8486,0.9893,0.2525,0,0,0.0781,0.1682,1.3952,0.1049
TCGA-E2-A14N-01A-31R-A137-07,1,0.1106,0,0.0205,0,0,0,1.8051,0,0,0.2018,0.0268,7.9758,0,0.4375,0.2627,0.6315,0,0.0863,0.8057,0.212
TCGA-A7-A0CG-01A-12R-A056-07,1,0.1147,0,0.1485,0,0.3227,0.666,0.4985,0,0.0386,0.3138,1.2771,14.7422,3.1385,0.907,1.0894,0.6546,0.4984,1.0292,1.909,0.7533
TCGA-A7-A26J-01A-11R-A169-07,1,0.1633,0.3575,0.406,0.0984,0.1333,0,0.2552,0.2167,0.0172,0.2793,3.8786,48.1305,0.2635,0.1345,3.1506,0.233,0.0139,0.6271,1.4864,0.2095
TCGA-C8-A12K-01A-21R-A115-07,1,0.089,0,0.3045,0.1286,0.0536,0,0.1854,0.0945,0.0898,0.4869,0.2584,13.8305,0.0459,0.1173,0.2113,1.1171,0,0.0868,0.5553,0.0487
TCGA-A7-A13G-11A-51R-A13Q-07,0,1.7984,0.1707,0.2164,0.1057,1.1829,1.592,1.1492,4.3472,0.209,15.6705,0,0.127,0,0,0.5208,0,0.0199,0.0143,0,3.061
TCGA-A7-A13G-01B-04R-A22O-07,1,2.8059,11.9959,0.8584,2.8744,0.1776,0.2138,0.5262,0.3519,1.2631,3.7787,4.2518,26.2888,14.83,1.8928,0.787,0.8828,0.15,0.4633,3.9073,0.7407
TCGA-BH-A18V-01A-11R-A12D-07,1,0.4561,5.1855,0.0555,0,0.0241,0,0.0929,0.1275,0.0807,0.3832,0.2615,24.7065,0.062,0.1582,0.285,1.6443,0,0.082,2.1227,0.2464
