sample,outcome,AC009242.1,AC004637.1,AC246817.1,AL139241.1,PRDM16-DT,LINC01028,LINC00639,AL135841.1,HYMAI,KCNIP2-AS1,LINC00922,LINC01614,LINC01644,AC104237.3,AC016735.1,AC090125.1,AC008459.1,LINC00958,AC112721.2,LINC00924
TCGA-EW-A1J5-01A-11R-A13Q-07,1,0.3517,0.2053,0.1301,0.1271,0.1237,0.1702,0.2146,0.5602,0.0148,0.7218,1.128,24.818,8.8525,0.3477,0.8352,0,0,0.1458,3.6587,0.4331
TCGA-E2-A1LB-01A-11R-A144-07,1,0.0244,0.1426,0.0226,0,0.3436,0,0.0945,0,0,0,1.8327,10.3937,0,0,0.29,0,0,0.0834,0,0.3008
TCGA-BH-A1ES-06A-12R-A24H-07,1,0.3262,0,0.0283,0,0.1127,0.0493,0.2914,0.6495,0.0686,0.7439,0.0987,0.3542,12.1588,0,1.2104,0.1164,0.0692,0.0497,0.2121,1.6181
TCGA-EW-A6SB-01A-12R-A32P-07,1,0,0,0.0078,0,0.0085,0,0.0604,0,0.0569,0.0771,0.0205,0.4405,0,0,0.4015,0.2895,0,0.033,0.1759,0.1388
TCGA-B6-A0IC-01A-11R-A034-07,1,0.0724,0,0,0,0.0182,0,0.0862,0.0961,0,0.0825,0.0876,1.6499,16.9085,0,0,0,0,0.7588,0,0.1114
TCGA-C8-A12X-01A-11R-A115-07,1,0.0426,0,0,0,0.2141,0,0.2029,0,0,0.0971,0.0516,3.1449,20.2361,0,0,0,0,0,0.2216,0.204
TCGA-Z7-A8R5-01A-42R-A41B-07,1,0.199,0.3319,0.1709,0.0685,0.4856,0,0.3131,0.1509,0.0478,0.2593,0.9289,0.8641,0.4403,0.1873,17.2128,0.8112,0.2123,2.121,0.2957,0.2139
TCGA-AC-A2BK-01A-11R-A21T-07,1,0.1247,0,0.0115,0,0,0,42.7402,0,0.2516,0,0.0302,1.1912,0,0,2.3687,0,0,0.377,0.1297,0.0853
TCGA-E2-A15A-06A-11R-A12D-07,1,0.0896,0,0.0622,0.054,0.1351,0,0.0934,0,0,0.1533,0.2441,29.3857,12.6684,0,0.266,0,0,0,1.8648,0.6439
TCGA-AC-A6IX-06A-11R-A32P-07,1,0.241,0.201,0.008,0.2074,0.3633,0,0.9892,0.2742,0.0434,0.4318,0.1875,0.1495,5.3333,0.6807,0.6132,0.0983,0,0.1091,0,1.9316
TCGA-A2-A04X-01A-21R-A034-07,1,0.032,0.0935,0,0.0386,0.0322,0,0.0715,0,0,0.1461,0.2908,7.6503,5.9952,0,0.3803,0.3657,0,0.3905,0.0833,0.2958
TCGA-D8-A1JA-01A-11R-A13Q-07,1,0.0745,0.1087,0.043,0.1345,0,0,0.1385,0.1977,0.0156,0.4669,2.1176,10.7503,0,0.1227,0,1.1687,0,0.0091,3.1949,0.3693
TCGA-BH-A1EW-01A-11R-A137-07,1,0.1345,0.1571,0.1617,0,0.2704,0.1302,0.4004,0.1428,0.2036,0.2454,0.293,10.7474,3.0557,0.1773,0,0,0.0365,0.0262,2.6586,0.6994
TCGA-A2-A0EX-01A-21R-A034-07,1,0.0771,0.15,0.202,0,0.0775,0.6838,0.3365,0,0.0216,0.1172,3.4825,19.3006,0.0663,0.3386,0.9151,0.1466,0.0349,0.1879,0.4009,1.3886
TCGA-A7-A0CE-11A-21R-A089-07,0,0.5083,2.5278,0.0435,0.3628,0.8608,0.7743,0.8799,0.6996,0.1583,0.1288,0.0228,0.654,0.6318,5.5827,6.0349,0,2.7612,1.267,0,1.3781
TCGA-BH-A18N-01A-11R-A12D-07,1,0.1507,0.4398,0.0232,0.121,0.1136,0,0.0748,0.6667,0,0.7445,0.5167,25.7375,0.4538,0,0,0,0.0341,0,1.1756,0.1718
TCGA-BH-A18N-11A-43R-A12D-07,0,1.1479,4.5084,0.1931,1.3074,1.3949,0.9595,1.2676,1.2189,0.1404,1.6182,0,0.2719,0.6466,2.0631,8.1777,0,0.5811,1.3232,0,2.6845
TCGA-A8-A09E-01A-11R-A00Z-07,1,0.0732,0,0.0113,0,0.0982,0,0.1236,0,0,0.1114,0.4137,21.7364,6.5557,0,0.2899,0.6968,0,0.0714,0,0.2506
TCGA-A7-A0DC-11A-41R-A089-07,0,0.512,0.4484,0.1184,0.6168,1.1321,2.4158,1.3262,3.9418,0.0646,2.2184,0.1239,1.2229,2.3132,0.1687,8.5111,0,0.2086,0.3246,0,3.0126
TCGA-GI-A2C8-11A-22R-A16F-07,0,0.0741,0,0.0572,0.0298,0.1677,0.0897,0.184,0.1312,0.0416,0.0564,0,0,0,0.2443,0.1467,0,0.0084,0,0,0.7778
TCGA-AQ-A0Y5-01A-11R-A14M-07,1,0.0441,0.2576,0.0306,0,0.0333,0,0.1511,0.3514,0.1298,0.1006,9.1047,106.5285,5.2965,0,0.2619,4.659,0.015,0.2259,6.8848,0.2868
TCGA-AO-A0J5-01A-11R-A034-07,1,0.1598,0.2073,0.1642,0,0.3479,0,1.2051,0.1885,0.0448,0.3644,7.585,50.5748,0.3667,0,0.4216,0,0,0.0433,1.3852,0.328
TCGA-D8-A146-01A-31R-A115-07,1,0.1875,0.5473,0.1192,0.1129,0.4828,0,1.2559,0.1244,0.0591,0.2138,1.9004,56.0746,0.3025,0.4633,0.8348,0.4013,0.0159,0.3657,4.0226,0.2565
TCGA-A8-A07E-01A-11R-A034-07,1,0.1179,0.2294,0.1726,0.0473,0.2172,0,0.3567,0.1043,0,0.2688,1.3314,76.0052,2.992,0,0.6997,0.3364,0.0133,0.5556,2.35,1.3439
TCGA-A7-A0DA-01A-31R-A115-07,1,0.1381,0.1152,1.1408,0,0.1388,0,0.1527,5.0285,0.0166,0.18,1.6717,114.0461,0.0509,0,4.4513,1.9146,0,0.2983,6.1579,0.0675
TCGA-C8-A274-01A-11R-A16F-07,1,0.0817,0,0.0076,0.1181,0.0411,0,0.1022,0.0868,0.0275,0.2609,1.5432,14.552,5.6548,0,0,0.933,0,0.1993,0.3401,0.1007
TCGA-A8-A07G-01A-11R-A034-07,1,0.1984,0.1159,0.1101,0.0478,0.0897,0.096,0.13,0.1054,0.0167,0.181,3.6508,56.9624,3.8936,0.1308,0.4712,2.6052,0.0135,0.2516,2.1676,0.2172
TCGA-A2-A0D4-01A-11R-A00Z-07,1,0.1033,0,0.0409,0,0.0667,0,0.3645,0.235,0.0248,0.0336,0.9999,4.6768,1.2188,0,1.2262,0,0.01,0.1079,0.5372,0.4643
TCGA-AO-A1KQ-01A-11R-A13Q-07,1,0,0.1491,0.0236,0,0.1797,0,0.0456,0.1356,0.0859,0.3494,0.7418,23.6224,10.1535,0,0,1.7493,0.0173,0,1.3284,0.0524
TCGA-D8-A1XU-01A-11R-A14M-07,1,0.179,0.0871,0.1242,0.0359,0.1124,0.0361,0.342,0,0.0251,0.1021,4.243,43.9221,4.9681,0.1966,0.1771,0.2554,0.0203,0.0873,1.3967,0.30620000000000003
TCGA-AC-A8OP-01A-11R-A36F-07,1,0.2219,0.3701,0.1613,0.1527,0.7008,0,0.4058,0.3366,0.1066,0.4337,1.3044,22.1612,0.2455,1.0444,0,0.1809,0.3013,0.1082,4.2866,1.2361
TCGA-D8-A143-01A-11R-A115-07,1,0.0238,0.2784,0,0,0.9346,0,0.2201,0,0.0802,0.3806,0.0577,6.6273,0.2462,0.1571,2.265,0.9528,0,7.4079,0.3721,0.3589
TCGA-BH-A18L-11A-42R-A12D-07,0,0.4134,1.81,0.3107,0.6224,1.2203,4.0632,2.2229,0.823,0.3693,2.4155,0,0.1122,0.2001,1.7026,3.681,0,1.4386,2.1672,0,1.5731
TCGA-OL-A5RY-01A-21R-A28M-07,1,0.0524,0,0.0242,0.1263,0.6191,0,5.0726,0.1392,0.022,0,1.0152,22.1971,0.0677,0,3.1124,2.5435,0.1424,0.0511,2.7269,0.5739
TCGA-A2-A0YM-01A-11R-A109-07,1,0.1115,14.9776,0.2683,0.0537,0.0112,0,0.0266,1.1844,0.15,0.4578,0.135,13.4658,0,1.3231,1.5893,1.0187,0,0,1.8566,0.1984
TCGA-AR-A0TS-01A-11R-A115-07,1,0.3417,0.9311,0.0422,0.2744,0.0801,0.1103,0.2781,1.0887,0.1149,0.6234,0.1379,9.2011,0,1.051,5.1397,0.2601,0,0.0222,2.1331,1.4496
TCGA-A8-A06P-01A-11R-A00Z-07,1,0.0783,0.1143,0.1268,0.0944,0.0689,0,0.1166,0,0.0165,0.3126,1.1615,57.8331,0.0506,0,0.2325,1.1179,0,0.0096,2.1393,0.4288
TCGA-E9-A1NA-01A-11R-A144-07,1,0.0818,0.2387,0.0473,0,0.0411,0,0.0974,0.3256,0.0344,0.4662,3.563,43.4123,0,0,0,0.8168,0,0.01,1.1697,0.2378
TCGA-A1-A0SN-01A-11R-A144-07,1,0.0668,0,0.0927,0.1073,0.2014,0,0.232,0,0,0.1015,1.8053,72.0233,10.1728,0.1467,0,0.2541,0,0.1194,1.6211,0.3808
TCGA-A8-A09T-01A-11R-A00Z-07,1,0.2291,0,0.1854,0,0.0863,0,0.0853,0,0,0,3.3276,67.9048,0,0,0,4.9041,0.0389,0.3911,0.8938,0
TCGA-D8-A1JG-01B-11R-A13Q-07,1,0.093,0.0775,0.0553,0.096,0.1068,0,0.0633,0,0.0112,0.1212,1.0449,19.2652,0.0343,0,0.1577,0.6065,0,0,2.4181,0.1363
TCGA-A8-A09I-01A-22R-A034-07,1,0.0988,0.1442,0.0057,0.0297,0.062,0,0.1434,0.1311,0.0104,0.0563,0.4483,55.1706,11.2516,0,0,0.4228,0,0.0241,3.1468,0.0845
TCGA-AO-A0JI-01A-21R-A056-07,1,0.1028,0.15,0.0356,0.0619,0.3356,0.2486,0.7419,0.1364,0.0432,0,0.5286,5.3549,0.3316,0,0,0,0,0.0251,1.2026,0.2812
TCGA-E9-A1R4-01A-21R-A14D-07,1,0.0259,0.4532,0.1317,0,0.182,0,0.3621,0.2748,0.0218,0.4131,0.1879,26.0713,5.2778,0,0.3073,0.5908,0,0.101,2.019,0.1593
TCGA-A7-A4SB-01A-21R-A266-07,1,0.0923,0.1796,0.0285,0.2224,0.6803,0,0.229,0.4901,0.0776,0.842,1.6759,7.0819,3.2569,0,1.096,0,0.0209,0.06,0,0.3789
TCGA-D8-A1XV-01A-11R-A14M-07,1,0.0386,0,0,0.0465,0,0,0.0517,0.1025,0,0.088,0.3036,4.2738,0,0,0,0,0,0.4047,0.2007,0.2376
TCGA-AR-A2LM-01A-11R-A180-07,1,0.4292,0.5276,0.1985,0.0544,0.2384,0,0.4035,0.1199,0.133,0.5152,7.9295,34.2388,0.0583,0.4466,3.7553,0.2579,0,0.4187,2.9377,0.3864
TCGA-AN-A0AK-01A-21R-A00Z-07,1,0,0,0.027,0,0.1027,0,0.1738,0,0,0.5326,0.1413,13.0584,0.3015,0,0,0.6666,0,0,1.063,0.2197
TCGA-AR-A252-01A-11R-A169-07,1,0.1475,0.0957,0.0834,0,0.1235,0.0396,0.5903,0.174,0.0551,0.4484,0.5553,18.9271,0.1692,0.108,0.3891,0.1871,0.4673,0.5194,7.2444,1.278
TCGA-B6-A0IM-01A-11R-A034-07,1,0.018,0,0.0751,0,0,0,0.2471,0,0,0.3292,0.9829,89.0235,0.4659,0,0,0.927,0,0,12.4841,0.6914
TCGA-E2-A15L-01A-11R-A12D-07,1,0.0473,0.1381,0.0875,0,0.0119,0,0.1761,0.1256,0,0.3776,1.4601,123.882,14.534,0,0.5617,1.8902,0.0161,1.8112,19.8091,0.0324
TCGA-A8-A08S-01A-11R-A034-07,1,0.079,0.3458,0.1005,0.0951,0.0496,0,0.1764,0.629,0,0.045,1.5295,37.471,15.5476,0,0,0.4508,0,0.4333,2.5676,0.054
TCGA-E9-A6HE-01A-11R-A31O-07,1,0.0204,0,0.0189,0,0.2667,0.0988,0.1337,0.1084,0.0343,0.1397,3.4099,10.55,0.2108,0,0.2424,0,0.0139,0,0.2124,0.0279
TCGA-GM-A2DF-01A-11R-A180-07,1,0.0836,0.2441,0.0322,0.1343,0.1191,0,0.0373,5.0317,0.0352,0.0953,0.2868,5.7495,0,0,12.4106,0.7955,0,0,0.0725,0.3528
TCGA-BH-A1F5-01A-12R-A13Q-07,1,0.0586,0,0.0362,0,0.0196,0,0.0175,0.2076,0.0329,0.2675,3.5254,33.7024,1.3122,0,0.2321,0.6695,0,0.0572,1.0168,0.1605
TCGA-BH-A1FE-11B-14R-A13Q-07,0,0.9739,0.5054,0.7508,3.4414,0.5111,0.6808,1.0567,1.4938,0.7642,1.4806,0.1048,0.6579,0,14.12,5.6533,0,3.9386,2.1215,0.3377,1.8065
TCGA-BH-A1FE-06A-11R-A213-07,1,0.1999,0.5188,0.1747,0.107,0.1898,14.0826,0.3902,0.1179,0.1868,0.1013,0.0538,4.9199,0,0.1464,0,0,0,0,0.8088,5.1219
TCGA-E2-A15T-01A-11R-A115-07,1,0.0223,0,0.0207,0.1076,0.0337,0.054,0.0864,0,0.0188,0.1019,0.1622,7.9526,8.879,0.5887,0,0,0,0.1961,0.3485,0.2139
TCGA-E2-A14V-01A-11R-A12D-07,1,0.0211,0,0.0489,0,0.0212,0,0.1385,0.1123,0.0178,0.5304,0.4606,21.9443,0.7096,0.1393,0.5021,2.1723,0,0.4846,0.7698,0.1447
TCGA-AN-A0FL-01A-11R-A034-07,1,0,0,0.0083,0.0866,0.7586,0.0435,0.0696,0.1908,0,0.041,0.0435,1.4047,0,0,0.6401,0,0,0.2892,0.2804,0.2951
TCGA-EW-A1PC-01B-11R-A21T-07,1,0.1492,0.0968,0.069,0.1198,0.4832,0.1204,0.1135,0.088,0.0418,0.3025,3.0101,42.8412,1.8834,0,0.1969,0.1893,0.0338,0.0323,4.7433,0.0227
TCGA-A2-A3XT-01A-11R-A22U-07,1,0.6605,0.3955,0.0392,0.1224,0.1277,0.082,0.1513,0.2698,0,0.5021,0.1025,5.2954,0,0,1.8098,1.16,0,0.0743,0.3524,0.1506
TCGA-E9-A1NF-11A-73R-A14D-07,0,1.1049,0.472,0.2119,0.844,2.3427,3.9774,1.9736,3.7201,0.3172,7.4972,0.1631,0.3511,0.0696,0,0.9599,0.1538,0,0.0394,0,3.079
TCGA-C8-A1HN-01A-11R-A137-07,1,0.0177,0,0.0737,0,0.08,0,0.058,0.1879,0.0149,0.1614,0.7711,28.974,1.0509,0,0,0.101,0,0.0173,0,0.3875
TCGA-AR-A0U3-01A-11R-A109-07,1,0.118,0,0,0,0.1384,0,0.2342,0,0,0.3588,0.4761,17.4242,5.3824,0.2592,0.4671,0.2245,0.0534,0.1727,2.0461,0.323
TCGA-BH-A1FB-01A-11R-A13Q-07,1,0.2801,0.9344,0.6107,0.7712,0.2212,0.1936,0.4526,0,0.1514,0.365,4.3099,47.694,0.0516,1.1865,4.5131,3.9966,0.7064,1.8245,4.9947,0.7938
TCGA-A2-A1G0-01A-11R-A13Q-07,1,0.3321,0.1292,0.1741,1.0134,0.2002,0.1071,0.4086,0.2351,0.1303,0.2019,1.6076,27.4945,24.6323,0.5836,1.5771,0,0.2405,0.3671,1.9575,0.5301
TCGA-AC-A3HN-01A-11R-A213-07,1,0.3607,0.4212,0.3337,0.0435,0.6344,0,0.7786,0.7661,0.0607,0.5347,3.7108,62.8909,0.1397,0.2377,1.499,2.7795,0.0367,0.5102,3.94,0.691
TCGA-BH-A209-11A-42R-A157-07,0,0.7038,2.3177,0.1753,0.3478,0.9431,1.7902,1.2571,1.4372,0.3945,1.3991,0.1092,0.2351,0,0.7135,5.785,0,0.5882,1.6721,0.3755,2.6915
TCGA-C8-A131-01A-11R-A115-07,1,0.0641,0,0.0988,0.0514,0,0,0.0509,0,0.053900000000000003,0.1948,0.2584,26.797,0,0,0.2535,1.5844,0,0.0521,0.8885,0.3652
TCGA-BH-A1F6-01A-11R-A13Q-07,1,0,0.3169,0.0251,0,0.0546,0,0.1535,0.2882,0.0913,0.1857,0.0985,18.9747,0,0,0.6445,1.704,0,0,0.1412,0.7984
TCGA-AC-A2FK-01A-12R-A180-07,1,0.8412,1.6371,0.8214,3.3028,0.4384,0.3769,1.2244,0.9925,0.1048,0.3552,0.1885,1.0824,0,5.7491,24.4153,0,0.3597,2.4008,0.1621,1.3429
TCGA-BH-A0BL-01A-11R-A115-07,1,0.2001,5.4893,0.1388,0.4338,0.2915,0.1936,0.9589,0.8497,0.1682,0.5931,1.4043,55.3387,0.0516,2.1094,21.6151,3.7682,0.0408,0.1268,4.6825,0.4927
TCGA-AC-A6IV-01A-12R-A33J-07,1,0.1269,0.4938,0.2054,0.0509,0.8819,0.1023,0.9128,0.4491,0.0356,0.8679,4.1458,27.8217,0,0.1393,1.5063,0.1207,0.0144,0.1134,1.3198,0.8101
TCGA-A2-A0EY-01A-11R-A034-07,1,0.0856,0.6249,0.0297,0.1031,0.1829,0.0518,0.2358,0.5683,0.036,0.1953,0.3368,20.2646,13.0419,0,0.2542,0.9775,0.0291,0.0522,1.3361,0.3661
TCGA-A2-A0T2-01A-11R-A084-07,1,0.0541,0.3161,0.0083,0.0435,0.0181,0,0.1128,0.1917,0.1366,0,0.3495,14.9707,0,0,40.5039,1.3393,0,0.1408,0.2816,0.2099
TCGA-AN-A0XP-01A-11R-A109-07,1,0.0645,0,0.0497,0,0.0432,0,0.1024,0.2283,0.0361,0,0.4943,33.233,7.3811,0,0,0,0,0.0944,1.9008,0.6324
TCGA-D8-A1X6-01A-11R-A14M-07,1,0.1054,0.1026,0.0325,0.0423,0.0353,0,0.1046,0.1865,0,0.1602,1.1907,14.7997,32.1548,0,0,0.3008,0,0.0171,0.1828,0.0361
TCGA-E2-A1L6-01A-11R-A13Q-07,1,0.2662,0,0.2257,0.4276,0.1784,0.0537,0.251,0.9423,0.0373,0.2023,2.2016,20.1337,24.3397,2.0467,1.317,0.2532,0.6628,2.0015,2.3077,0.4401
TCGA-B6-A0RO-01A-22R-A084-07,1,0.02,0,0.0185,0.0482,0.0703,0.0967,0.2797,0,0.0168,0.0912,2.0325,6.6847,3.8192,0.3952,0,0.1141,0.0272,0.2437,0.9359,0.1094
TCGA-E9-A5UO-01A-11R-A28M-07,1,0.0283,0.3299,0,0,0.0426,0,2.4309,0,0,0.3866,0,2.3312,0.0729,0,0,0,0.0192,0.0138,0.147,0.7152
TCGA-E2-A1LB-11A-22R-A144-07,0,0.2746,1.2825,0.381,0.86,0.8969,0.3986,0.8502,1.1663,0.1154,1.1897,0.0997,0.2385,0.638,7.7811,7.4986,0,1.9578,1.848,0,0.7702
TCGA-BH-A1ES-01A-11R-A137-07,1,0.126,0,0.3205,0,0.0316,0,0.2063,0.6688,0,0.1436,4.7264,107.492,0.3252,0,0.7478,1.7976,0.0855,0.8601,2.9485,0.0431
TCGA-E2-A15I-11A-32R-A137-07,0,0.6657,0.2286,0.3713,0.2359,0.7478,4.1692,1.0668,2.703,0.2469,3.081,0.0237,0.085,0,0.6452,0.465,0,0.7712,0.5061,0,1.1387
TCGA-AR-A24S-01A-11R-A169-07,1,0.1112,0.3245,0.0857,0.0893,0.1955,0.1345,0.3696,0,0.0312,0.3803,0.8522,70.1613,8.5621,0,0.22,1.3748,0,0.2259,3.4695,1.1155
TCGA-A2-A0SY-01A-31R-A084-07,1,0.0407,0,0.0753,0.1962,0.1739,0.4433,0.2788,0,0,0,4.0161,23.3382,1.2088,0.1342,0,0.1162,0,0.0794,0.3177,0.7242
TCGA-A8-A07U-01A-11R-A034-07,1,0.2919,0.3788,0.045,0.1172,0.1304,0.0785,0.7629,0.6028,0.0136,0.3329,0.2552,11.6215,0.1675,0,0.1926,0.9258,0,0.0079,1.7716,0.344
TCGA-E2-A1IF-01A-11R-A144-07,1,0.0838,0.1223,0.1065,0.1009,0.3683,0,0.2431,0,0.0352,0.3343,2.9907,26.1897,4.2708,0.552,4.4755,6.9326,0.0284,0.4391,0.6535,0.5444
TCGA-E2-A15A-01A-11R-A12D-07,1,0.1024,0,0.1042,0,0.0824,0,0.1281,0,0,0.2336,0.9918,70.0172,6.2411,0,0,0.7016,0,0.04,3.1969,0.0701
TCGA-A2-A0ER-01A-21R-A034-07,1,0.0575,0,0.0532,0,0.0867,0.0927,0.1711,0.1017,0,0.0874,0.2087,16.3083,14.0976,0.2525,0,0.4375,0,0.0187,1.4949,0.2884
TCGA-E2-A1B0-01A-11R-A12P-07,1,0.0118,0,0.0055,0,0.083,0,0.1615,0.0626,0.0793,0.1614,0.2141,80.0942,0,0.1554,0.7001,2.5579,0,0.161,9.0783,0.242
TCGA-A2-A04Y-01A-21R-A034-07,1,0.1251,0.0664,0.0263,0.0274,0.0457,0,0.1388,0.1208,0.0765,0.5707,0.4406,6.9651,3.759,0,0.1351,0.1299,0.0309,0.0999,0.1183,0.2724
TCGA-BH-A0DT-11A-12R-A12D-07,0,1.3025,2.4392,0.6479,0.8882,0.5187,1.2488,1.1707,0.3915,0.3099,0.6165,0.0595,0.9605,0,3.0773,10.5049,0,15.3535,1.3304,0.1278,1.7487
TCGA-A2-A0D2-01A-21R-A034-07,1,0.069,3.3547,0,0.1108,0.0346,0.0556,0.3353,0,0.2512,0.2621,0.2782,33.9364,0,0,13.3724,3.9358,0.0156,0.0336,2.0324,0.173
TCGA-A7-A0CH-11A-32R-A089-07,0,0.3745,1.2495,0.2227,0.3867,1.0127,1.1651,1.2,2.0832,0.09,0.488,0,0.0774,0.046,0.2351,3.1764,0,0.5813,0.2522,0,1.8059
TCGA-BH-A1EW-11B-33R-A137-07,0,0.724,0.4403,0.6418,0.8358,0.3183,0.438,0.6466,1.5216,0.875,1.4447,0.2921,2.2926,0.0779,2.8827,3.2237,0,1.0345,1.2653,1.4907,1.1868
TCGA-AN-A04C-01A-21R-A034-07,1,0.0745,0,0.0138,0.0359,0.0524,0,0.0355,0.1583,0,0,0.1985,7.8979,0.0385,0,0.708,0,0,0.0727,0.0775,0.306
TCGA-4H-AAAK-01A-12R-A41B-07,1,0.1782,0.3469,0.1511,0,0.1194,0,0.115,0.1577,0.0999,0.0677,20.0626,103.2024,0.2301,0.1958,3.1745,1.5261,0,0.6809,1.0816,0.1016
TCGA-A7-A0CE-01A-11R-A00Z-07,1,0.1211,29.6973,0,0.1459,0.0609,0,0.607,0.9646,0.0679,0.2302,0.1222,4.5582,0.0521,0,4.3141,0.1152,0.1097,0.2461,0.105,0.0967
TCGA-D8-A27E-01A-11R-A16F-07,1,0.1388,0,1.0913,0.0418,0.0785,0,0.2686,0,0,0.1582,1.2388,8.8145,0.0448,0,0,0,0,1.9291,0.1805,0.1068
TCGA-BH-A1F2-11A-32R-A13Q-07,0,1.116,1.5892,0.3777,0.4591,1.0122,0.3293,1.5438,1.8066,0.4005,2.545,0.0165,0.1773,0,1.6145,1.9392,0,2.0518,0.5708,0,1.1919
TCGA-AC-A3TM-01A-11R-A22K-07,1,0.2643,0,0.0611,0,0.2988,0,0.0721,0,0,0.2009,3.1453,1.3389,4.8328,0.1451,3.1379,0,0.0449,0.6659,0.1146,0.0452
TCGA-LL-A441-01A-11R-A24H-07,1,0.7342,0.564,0.1341,0.1397,0.7185,0.0468,0.3049,0.2052,0.1949,0.4847,0.4677,7.7195,0.1496,0.2547,1.1471,0.1103,0.2493,0.5748,1.1055,0.8593
TCGA-A7-A13G-01A-11R-A13Q-07,1,0.2527,0.2604,0.1478,0.1791,0.0971,0,0.1461,0.0789,0.075,0.2543,0.6747,8.6186,4.2793,0.1959,0,0.0424,0.0151,0.0834,1.7012,0.0407
TCGA-LL-A5YP-01A-21R-A28M-07,1,0.1147,2.8455,0.0663,0.0691,0.3169,0,0.111,2.2833,0.241,0.2615,2.4637,60.1348,0,0,3.7445,1.3092,0,0.014,0.8948,0.5296
TCGA-AO-A03L-01A-41R-A056-07,1,0,0.3971,0.1049,0,0.1367,0,0.3105,0.3611,0.0381,0.1034,2.9634,51.0947,0.2341,0.1494,0.8075,0.3882,0,0.3096,4.8347,0.1551
TCGA-A2-A04W-01A-31R-A115-07,1,0.0464,0,0.0858,0,0.5594,0,0.0967,0,0.0585,0,4.9961,24.1695,7.9028,0,0,3.3092,0,0.1018,0.3619,0.0635
TCGA-AR-A24O-01A-11R-A169-07,1,0.2512,0.4,0.338,0.6052,0.6082,0.7184,1.1695,0.9701,0.096,0.4166,5.6941,39.8688,2.0636,0.7525,1.8982,0.1304,0.1086,1.5259,4.0389,1.25
